first_name,last_name,date_of_birth,current_school,current_grade,default_discount_percentage
Oanh,Ly,2009-06-30,University of California,Freshman,27.5
Sam,Jones,2009-04-17,Truong THPT Hai Ba Trung,Sophomore,9.2
Rachel,Le,2009-09-27,,10,7.3
Duc,Hoang,2010-04-02,University of Chicago,Senior,35.8
Paul,Thomas,2009-02-27,Stanford University,Senior,13.6
Thu,Phung,2009-04-17,Harvard University,9,2.6
Minh,Williams,2011-05-11,,11,13.4
Emma,Gonzalez,,Columbia University,,48.6
Uyen,Johnson,2008-08-11,University of California,10,34.3
Linh,Jones,2011-09-01,University of Chicago,11,36.9
Uyen,Rodriguez,,,9,19.8
Nam,Ly,,Princeton University,,31.9
Paul,Williams,,,,5.3
Em,Johnson,2009-04-13,University of California,9,35.2
Oanh,Thomas,,Harvard University,Senior,3.4
Sam,Le,,Truong THPT Tran Phu,,10.1
Thu,Jackson,2011-06-15,,12,34.6
Xuan,Do,2008-11-21,,9,0.4
Tina,Hoang,2010-02-09,Truong THPT Quang Trung,,17.1
Linh,Brown,2009-03-30,Columbia University,,18.3
Oanh,Phung,2009-12-11,MIT,9,16.6
Binh,Moore,2008-04-01,Northwestern University,,20.7
Grace,Ly,2010-11-23,,9,21.6
Henry,Johnson,2010-11-06,Truong THPT Hai Ba Trung,Senior,9.2
Nam,Miller,2011-07-19,Truong THPT Le Quy Don,Sophomore,34.2
Paul,Dong,2009-05-31,Columbia University,9,39.5
Henry,Phan,2010-12-03,,,33.0
Paul,Taylor,2009-03-30,Northwestern University,11,27.3
Quang,Bui,,Truong THPT Quang Trung,10,8.8
Ivy,Anderson,2010-12-26,Duke University,Junior,39.7
Uyen,Garcia,2009-11-17,University of California,10,10.9
David,Truong,2009-04-28,,,5.2
Thu,Lopez,2009-08-27,,10,33.7
Rachel,Gonzalez,2011-08-04,Truong THPT Vo Thi Sau,,40.4
Em,Hoang,2010-09-18,,Freshman,36.0
Sam,Martinez,2008-07-21,,,9.5
Paul,Le,2009-08-17,Truong THPT Nguyen Trai,,24.4
Oanh,Rodriguez,2011-03-07,Truong THPT Vo Thi Sau,,49.8
Duc,Gonzalez,,,9,35.4
Quinn,Martin,2010-01-15,Duke University,9,20.6
Linh,Nguyen,2011-02-12,Truong THPT Vo Thi Sau,10,45.0
Frank,Moore,2010-05-12,Truong THPT Nguyen Du,,37.5
Quinn,Martinez,2008-10-11,Truong THPT Vo Thi Sau,12,31.7
Rachel,Moore,,Truong THPT Le Quy Don,Junior,1.8
Quinn,Hoang,2011-03-07,Truong THPT Hai Ba Trung,11,48.3
Sam,Garcia,2010-05-26,Truong THPT Nguyen Du,,3.2
Catherine,Vu,,Truong THPT Hai Ba Trung,10,12.1
David,Lopez,2007-11-05,University of Chicago,Sophomore,26.6
Maya,Moore,2009-01-22,Truong THPT Nguyen Trai,,21.3
Alex,Vu,2011-05-15,,,7.6
Alex,Pham,,,,44.0
David,Truong,2008-11-16,Columbia University,,40.3
Maya,Duong,2008-07-15,Yale University,,0.9
Quang,Garcia,2011-09-15,,Junior,14.9
Liam,Davis,,,,9.4
Thu,Garcia,2007-12-18,,Senior,13.7
Hoa,Ho,,,Junior,22.0
Quinn,Hoang,2009-12-11,Truong THPT Tran Phu,Junior,9.3
Emma,Martinez,2010-11-05,Truong THPT Ly Tu Trong,,10.1
Giang,Dang,,University of California,Sophomore,21.6
Paul,Duong,2011-09-23,,Freshman,40.5
Olivia,Le,2011-03-24,Yale University,10,1.5
Liam,Williams,,,,9.5
Frank,Pham,,Northwestern University,10,2.3
Quinn,Hernandez,2008-03-06,Truong THPT Nguyen Hue,10,47.9
Em,Do,2008-12-05,Truong THPT Nguyen Hue,9,11.4
Phong,Vo,2011-04-16,Truong THPT Tran Phu,Freshman,7.2
Viet,Vu,,Truong THPT Nguyen Du,,22.6
Thu,Anderson,2011-05-17,,,29.2
Grace,Ngo,2008-01-22,Northwestern University,12,7.5
Linh,Phung,,Truong THPT Nguyen Hue,,46.9
Linh,Smith,2008-05-18,Truong THPT Hai Ba Trung,,25.9
Chi,Tran,2008-05-07,Truong THPT Hai Ba Trung,Junior,29.2
Noah,Johnson,2008-09-30,,,32.5
Jack,Phan,2008-07-01,Princeton University,12,42.2
Tina,Martin,2010-05-04,,Sophomore,11.7
Oanh,Anderson,2008-12-04,,9,12.6
Kelly,Anderson,,Truong THPT Hai Ba Trung,,11.2
Phong,Tran,2009-11-07,,,38.8
Linh,Hernandez,2009-12-24,University of Chicago,Senior,10.4
Yen,Davis,2009-12-02,Truong THPT Quang Trung,,25.4
Noah,Vo,2008-08-05,Columbia University,Freshman,21.0
Paul,Ly,2008-03-14,Duke University,9,38.9
Brian,Brown,2007-11-19,Harvard University,,3.6
Phong,Jones,2011-09-20,Harvard University,10,27.6
Frank,Miller,2009-07-31,,9,22.4
Jack,Taylor,2011-04-10,Truong THPT Nguyen Hue,,1.2
Paul,Wilson,2010-11-25,University of Chicago,Freshman,37.6
Em,Dong,2008-08-12,Northwestern University,,43.2
Kelly,Dinh,,Truong THPT Nguyen Du,,39.1
Paul,Pham,2007-11-06,Truong THPT Tran Phu,,23.8
Grace,Miller,2009-10-08,MIT,Junior,6.0
Nam,Dinh,2011-05-30,,,43.1
Thu,Dang,2009-02-17,Stanford University,12,20.7
Brian,Johnson,2011-08-10,,Junior,13.2
Giang,Phung,2009-06-07,Truong THPT Ly Tu Trong,11,41.9
Olivia,Dinh,,,12,7.4
Binh,Johnson,2008-11-30,,Freshman,25.6
Khanh,Wilson,2009-04-30,Columbia University,,36.5
Oanh,Lopez,2008-01-18,Truong THPT Le Quy Don,Junior,25.1
Thu,Nguyen,2008-08-14,Northwestern University,12,23.5
An,Ly,,,10,27.6
Paul,Jones,2010-01-11,MIT,Senior,13.7
Frank,Jackson,2009-11-20,Columbia University,10,12.0
An,Martinez,2008-07-27,,,10.4
Uyen,Bui,,Duke University,,42.8
Liam,Hernandez,2009-07-25,,Sophomore,28.8
Yen,Ly,,Truong THPT Nguyen Hue,11,1.1
Noah,Vu,2008-04-18,,11,43.4
Jack,Tran,2010-02-23,Truong THPT Ly Tu Trong,12,29.6
Rachel,Moore,2009-09-23,Truong THPT Le Loi,,16.2
Catherine,Thomas,2011-10-02,Yale University,,45.1
Henry,Do,2009-06-18,Yale University,,33.9
Binh,Le,,University of California,,15.7
Giang,Jackson,,Yale University,,16.1
Yen,Hoang,2009-11-08,Duke University,,48.2
Noah,Hernandez,2010-09-10,Truong THPT Tran Phu,10,23.2
Henry,Do,2011-01-20,Truong THPT Le Loi,,10.0
Em,Jones,2009-01-03,Truong THPT Nguyen Trai,12,44.0
Henry,Pham,2008-12-02,Stanford University,,21.0
Hoa,Ho,2008-02-01,,11,6.3
Khanh,Dang,2010-08-27,Truong THPT Le Loi,9,34.3
Oanh,Williams,2010-10-17,Yale University,Freshman,13.5
Paul,Moore,,Truong THPT Hai Ba Trung,12,43.8
Yen,Wilson,2008-08-27,Truong THPT Tran Phu,11,30.3
Chi,Bui,2008-06-08,Truong THPT Le Loi,,11.5
Rachel,Taylor,2010-01-01,,Junior,16.9
Sang,Johnson,2011-05-29,Yale University,10,41.8
Emma,Phan,,,,22.3
Em,Phan,2011-06-17,Truong THPT Ly Tu Trong,Senior,19.0
Phong,Miller,2009-07-01,Truong THPT Le Quy Don,12,13.9
Brian,Miller,,Northwestern University,,26.1
Ivy,Garcia,,,11,10.7
Quang,Dang,,Truong THPT Le Quy Don,,0.0
Thu,Martinez,2010-11-30,Truong THPT Le Loi,,9.1
Grace,Anderson,2009-02-11,Princeton University,11,43.8
Quinn,Vu,2008-05-13,Yale University,,47.9
Olivia,Do,2011-02-02,,Sophomore,43.6
David,Hoang,2007-12-13,Truong THPT Le Quy Don,,41.8
Grace,Jones,2009-05-06,,Sophomore,11.1
Linh,Le,2010-11-10,,,25.3
Giang,Dang,2009-04-17,Truong THPT Vo Thi Sau,Junior,1.5
Duc,Davis,2011-10-16,Truong THPT Vo Thi Sau,Senior,41.4
Chi,Moore,2008-07-05,Princeton University,Freshman,28.9
Duc,Jones,2011-01-03,University of California,Junior,39.9
Thu,Ly,2009-07-26,Truong THPT Ly Tu Trong,10,18.3
Noah,Gonzalez,2008-08-01,Truong THPT Quang Trung,,9.4
Noah,Miller,,Truong THPT Hai Ba Trung,Freshman,48.3
Alex,Anderson,,Truong THPT Le Quy Don,,5.8
Viet,Ly,,University of Chicago,9,6.5
Ivy,Martin,2008-07-03,Truong THPT Nguyen Du,,14.6
Binh,Vo,,Truong THPT Nguyen Trai,,31.4
Phong,Jackson,,Truong THPT Hai Ba Trung,Senior,22.4
Viet,Smith,2011-09-08,Truong THPT Quang Trung,Junior,27.8
Paul,Gonzalez,2011-04-08,Princeton University,Freshman,33.7
Brian,Le,2010-08-28,University of California,,41.2
Ivy,Martinez,2010-07-17,Truong THPT Vo Thi Sau,10,26.7
Xuan,Le,2008-04-28,Truong THPT Hai Ba Trung,Senior,9.1
Hoa,Taylor,2009-07-14,,,25.9
Uyen,Phan,2010-01-24,Columbia University,9,10.4
Oanh,Wilson,2011-07-12,,Junior,44.0
Giang,Phung,,Truong THPT Vo Thi Sau,Sophomore,14.4
An,Vu,2008-08-28,Truong THPT Nguyen Du,,23.8
Uyen,Wilson,2010-07-25,MIT,9,21.5
Uyen,Rodriguez,,MIT,Freshman,30.8
Rachel,Do,,Princeton University,Senior,21.5
Thu,Taylor,2008-02-29,MIT,10,35.7
David,Vo,2010-03-20,University of California,,30.1
Jack,Moore,2008-04-24,MIT,12,23.8
Kelly,Thomas,2008-08-11,Truong THPT Quang Trung,12,19.8
Sang,Martin,2010-06-03,Truong THPT Quang Trung,,9.3
Hoa,Wilson,2010-05-01,Truong THPT Tran Phu,,44.5
Linh,Ngo,2008-12-17,Truong THPT Ly Tu Trong,12,4.4
Quinn,Hoang,,,11,47.8
Alex,Vu,2009-06-16,University of Chicago,,21.9
Linh,Vo,2008-01-13,,12,48.2
Maya,Moore,,Truong THPT Nguyen Du,,4.2
Quinn,Anderson,2010-07-02,Truong THPT Nguyen Du,,18.3
Brian,Hoang,2008-10-30,Truong THPT Tran Phu,Senior,27.2
Henry,Phan,2011-09-15,Columbia University,11,6.4
Maya,Garcia,2010-06-14,Yale University,9,49.3
Brian,Dang,2010-02-12,Truong THPT Vo Thi Sau,,6.6
Giang,Miller,2011-02-10,MIT,9,44.1
Nam,Jackson,,University of Chicago,11,44.0
Liam,Moore,2011-08-27,Princeton University,,3.9
Uyen,Ho,2007-11-29,Truong THPT Vo Thi Sau,,1.5
Binh,Taylor,2009-10-01,,9,46.3
Olivia,Garcia,,Stanford University,,2.9
Khanh,Davis,2010-09-29,Truong THPT Nguyen Trai,Sophomore,38.6
Henry,Vo,2009-11-08,Truong THPT Ly Tu Trong,,43.6
Sang,Ly,2011-10-29,Truong THPT Le Quy Don,9,22.9
Paul,Garcia,2008-05-02,MIT,11,14.3
Sang,Hoang,2009-04-11,,,4.6
Xuan,Ly,,Truong THPT Le Loi,,47.7
Quang,Dang,2010-01-14,Truong THPT Tran Phu,,19.7
Chi,Le,,Truong THPT Nguyen Hue,9,48.9
Binh,Nguyen,2007-11-26,Columbia University,9,2.3
Emma,Rodriguez,2010-06-17,Northwestern University,Senior,28.4
Jack,Ngo,2010-12-19,MIT,Freshman,40.6
Liam,Rodriguez,2010-08-14,Harvard University,,26.4
Alex,Taylor,2011-06-17,Truong THPT Nguyen Trai,12,32.1
Alex,Johnson,2008-03-26,Truong THPT Vo Thi Sau,,5.1
Minh,Davis,,Northwestern University,12,16.7
Chi,Brown,2008-11-20,,,34.5
Em,Garcia,2010-11-30,Northwestern University,12,25.7
Chi,Hoang,2009-01-18,Truong THPT Hai Ba Trung,Senior,35.1
David,Vo,2011-05-13,Northwestern University,,39.9
Kelly,Duong,2011-09-27,,,15.0
Liam,Jackson,2011-06-04,Northwestern University,,3.2
Quang,Martin,2011-08-25,Truong THPT Nguyen Trai,10,23.4
Jack,Ngo,2008-09-12,Columbia University,,48.9
Liam,Taylor,2010-12-18,Truong THPT Nguyen Trai,12,8.1
Alex,Tran,2010-05-26,,Senior,47.3
Ivy,Duong,,Truong THPT Hai Ba Trung,Freshman,12.9
Binh,Le,2009-01-10,,Junior,0.4
Rachel,Phan,2010-06-06,University of Chicago,Sophomore,0.9
Rachel,Moore,2007-12-08,,Freshman,17.8
Chi,Thomas,2011-10-20,,Senior,11.7
Chi,Dong,2010-09-05,Truong THPT Le Loi,,34.3
Maya,Vo,2011-10-15,Truong THPT Nguyen Hue,Senior,17.7
David,Vu,2010-01-05,,12,45.2
Linh,Garcia,2011-10-30,,9,28.2
Viet,Vu,,Yale University,,35.6
Kelly,Ngo,2008-07-14,Truong THPT Le Quy Don,Sophomore,0.7
Kelly,Dong,2010-03-05,,,45.2
Jack,Taylor,,Harvard University,,20.5
Duc,Dong,,,Freshman,1.7
Jack,Rodriguez,2009-10-18,Truong THPT Tran Phu,,42.8
Phong,Lopez,,,9,33.5
Jack,Le,2010-07-16,Truong THPT Vo Thi Sau,9,47.1
Minh,Thomas,2010-08-24,,Junior,27.2
Maya,Hoang,,Harvard University,,48.2
Linh,Jones,,,Senior,38.1
Paul,Do,2011-02-03,,,12.3
Duc,Smith,2009-05-11,Columbia University,12,49.3
Ivy,Jackson,2010-01-29,Truong THPT Le Loi,Senior,28.1
Sam,Dang,2011-03-30,Truong THPT Le Loi,9,27.8
Frank,Garcia,2008-03-19,Truong THPT Nguyen Du,10,1.0
Thu,Garcia,2007-12-20,,12,8.6
Paul,Garcia,2010-10-25,Princeton University,,37.5
Jack,Ngo,2011-10-13,Truong THPT Vo Thi Sau,,37.7
Yen,Thomas,,Truong THPT Le Quy Don,,7.3
Grace,Nguyen,,Duke University,,17.0
Chi,Moore,2011-02-24,,,16.4
Duc,Martinez,2011-07-22,,9,47.6
Chi,Nguyen,2009-10-31,,11,47.7
Brian,Nguyen,,Truong THPT Nguyen Trai,Freshman,49.0
Frank,Dang,2011-08-10,Princeton University,,40.3
Khanh,Hoang,2010-01-25,Truong THPT Hai Ba Trung,,45.4
Alex,Tran,2009-10-11,,Junior,27.8
Yen,Do,2009-05-04,Truong THPT Vo Thi Sau,Sophomore,38.6
Quang,Martinez,2009-08-21,,Freshman,30.3
Sang,Smith,2009-02-24,,Senior,27.9
Quang,Ly,,,9,23.5
Rachel,Rodriguez,,Truong THPT Ly Tu Trong,10,3.0
Frank,Rodriguez,2008-11-25,University of Chicago,,37.7
Ivy,Phan,2008-04-02,Truong THPT Le Quy Don,Sophomore,40.5
Duc,Pham,2008-05-04,Truong THPT Nguyen Hue,,25.3
Grace,Dang,2009-03-13,,10,17.8
Quang,Duong,2009-05-13,,,5.2
Sang,Miller,,Princeton University,11,11.0
Yen,Smith,2008-04-13,,Senior,4.0
Xuan,Duong,,Truong THPT Hai Ba Trung,Freshman,34.9
Brian,Dinh,2008-01-28,,Junior,1.0
Binh,Dong,2011-01-06,Truong THPT Le Loi,Freshman,25.8
An,Smith,2011-09-24,,Senior,32.6
Minh,Dang,2009-05-23,University of California,10,44.8
Brian,Lopez,2008-10-13,,Junior,4.8
Minh,Williams,2010-01-29,MIT,,30.7
Binh,Nguyen,2010-01-18,MIT,,7.1
Sang,Dinh,,,Freshman,43.2
Kelly,Jackson,,Truong THPT Tran Phu,10,43.3
David,Williams,2009-12-19,Harvard University,,42.9
Giang,Vu,2008-08-16,Duke University,,9.7
Paul,Dong,2010-07-19,,9,32.1
Catherine,Davis,2009-11-09,Truong THPT Nguyen Du,Senior,27.3
David,Brown,2008-03-08,Truong THPT Ly Tu Trong,Senior,40.7
Sang,Do,2010-06-04,Princeton University,11,23.6
Yen,Brown,2008-12-12,Truong THPT Nguyen Du,,11.6
Emma,Johnson,2008-06-15,,Senior,31.6
Khanh,Hoang,2008-07-29,Truong THPT Nguyen Du,Sophomore,9.9
Ivy,Jackson,2010-11-04,Truong THPT Nguyen Trai,9,10.7
Catherine,Davis,2011-05-10,Truong THPT Nguyen Trai,,8.4
Maya,Vu,2010-06-16,Princeton University,Sophomore,26.8
Quang,Dong,2011-08-11,MIT,10,4.1
Khanh,Ly,2010-06-19,Princeton University,Freshman,3.1
Nam,Truong,,,,23.2
An,Martinez,2008-02-16,Truong THPT Nguyen Du,10,2.0
Linh,Ngo,2009-08-08,,,12.2
David,Brown,2010-06-13,Northwestern University,,10.1
Sam,Lopez,2011-06-15,Truong THPT Nguyen Hue,11,3.6
Grace,Smith,2010-11-10,,,33.0
Giang,Williams,2008-09-05,University of Chicago,9,12.0
Rachel,Le,2011-07-18,,Junior,1.2
Catherine,Taylor,2009-11-09,Columbia University,,32.4
Grace,Ly,,Stanford University,,47.5
Linh,Martin,2008-11-20,Princeton University,,32.4
Viet,Jackson,2010-09-10,Columbia University,,4.6
Thu,Rodriguez,,,,35.1
Duc,Gonzalez,2008-07-20,University of California,Sophomore,1.3
Paul,Brown,2011-04-24,Truong THPT Le Loi,10,40.6
Kelly,Vu,,Truong THPT Quang Trung,Freshman,16.1
Brian,Duong,,,Freshman,28.3
Nam,Bui,,Princeton University,Sophomore,25.0
Viet,Wilson,2009-12-07,Truong THPT Hai Ba Trung,,10.3
Grace,Garcia,2009-07-31,Princeton University,,28.0
Emma,Vu,2009-08-09,Truong THPT Nguyen Trai,Freshman,48.8
Noah,Gonzalez,2010-07-02,Columbia University,12,25.1
Ivy,Dang,2008-07-15,University of California,10,11.9
Quinn,Garcia,2011-06-01,,,5.2
Oanh,Tran,2007-12-15,Truong THPT Le Quy Don,,43.1
Jack,Rodriguez,2010-04-18,Truong THPT Quang Trung,Sophomore,45.8
Maya,Thomas,2010-07-10,,9,16.7
Giang,Vu,2008-09-30,Princeton University,Senior,46.7
Chi,Johnson,,University of California,12,12.3
Hoa,Miller,2010-03-11,,,25.6
Paul,Anderson,2007-12-16,,Freshman,46.5
Olivia,Dinh,2011-10-09,Truong THPT Nguyen Hue,,2.4
Thu,Williams,2011-08-11,Truong THPT Nguyen Hue,9,18.8
Liam,Tran,2011-01-21,Yale University,Freshman,11.1
Yen,Le,2009-03-17,Truong THPT Quang Trung,11,9.2
Tina,Moore,,Truong THPT Ly Tu Trong,,43.7
Henry,Ly,2010-03-10,Truong THPT Tran Phu,Sophomore,16.4
Sam,Do,2008-02-02,,,16.5
Grace,Vo,2009-09-06,,Junior,9.8
Ivy,Hoang,2008-05-18,,Freshman,47.6
Henry,Nguyen,,Stanford University,Sophomore,27.8
Tina,Dang,2011-04-02,Columbia University,12,8.9
Quang,Williams,2008-05-22,,10,46.0
Nam,Do,,,,21.2
Chi,Pham,2008-03-09,Truong THPT Nguyen Du,,47.5
